Date,Type,category_name,Amount,Currency,Note,Labels,date_format,amount
2024-01-04T09:39:43+00:00,Expense,Restaurant,-10.126956,USD,,,2024-01,10.126956
2024-01-04T12:32:23+00:00,Expense,Coffee,-3.593436,USD,Nomad cafe,,2024-01,3.593436
2024-01-04T12:56:13+00:00,Expense,Groceries,-1.63338,USD,,,2024-01,1.63338
2024-01-04T12:56:24+00:00,Expense,Personal Care,-1.960056,USD,Laundry ,,2024-01,1.960056
2024-01-04T13:34:18+00:00,Expense,Groceries,-11.43366,USD,Cachey hand sanitizer ,,2024-01,11.43366
2024-01-04T13:39:37+00:00,Expense,Restaurant,-5.1288132,USD,,,2024-01,5.1288132
2024-01-05T04:32:10+00:00,Expense,Sport,-6.53352,USD,Yoga,yoga,2024-01,6.53352
2024-01-05T10:34:56+00:00,Expense,Restaurant,-7.5462156,USD,Fish kotti papaya juice,,2024-01,7.5462156
2024-01-05T13:32:55+00:00,Expense,Coffee,-1.63338,USD,,,2024-01,1.63338
2024-01-06T04:32:22+00:00,Expense,Activities,-6.53352,USD,Yoga,,2024-01,6.53352
2024-01-06T06:02:42+00:00,Expense,Transport,-2.3520672,USD,,,2024-01,2.3520672
2024-01-06T06:02:52+00:00,Expense,Transport,-0.326676,USD,,,2024-01,0.326676
2024-01-06T09:12:11+00:00,Expense,Coffee,-1.796718,USD,,,2024-01,1.796718
2024-01-06T14:12:18+00:00,Expense,Restaurant,-8.820252,USD,,,2024-01,8.820252
2024-01-07T06:29:56+00:00,Expense,Subscriptions,-4.9901733,USD,Going solo travel matching one time oay,,2024-01,4.9901733
2024-01-07T08:17:25+00:00,Expense,Shopping,-0.490014,USD,Keychain elephant ,,2024-01,0.490014
2024-01-07T08:20:39+00:00,Expense,Shopping,-0.4736802,USD,Soap,,2024-01,0.4736802
2024-01-07T08:26:17+00:00,Expense,Shopping,-0.653352,USD,Sticker,,2024-01,0.653352
2024-01-07T08:38:43+00:00,Expense,Shopping,-8.656914,USD,T shirt,,2024-01,8.656914
2024-01-07T09:20:31+00:00,Expense,Restaurant,-4.410126,USD,,,2024-01,4.410126
2024-01-07T11:58:49+00:00,Expense,Shopping,-5.553492,USD,Estuche sri lanka,,2024-01,5.553492
2024-01-07T12:14:36+00:00,Expense,Shopping,-3.103422,USD,Handmade soap maya,,2024-01,3.103422
2024-01-07T12:15:02+00:00,Expense,Sport,-29.40084,USD,3 yoga classes 1 world yoga Christine ,yoga,2024-01,29.40084
2024-01-07T14:12:00+00:00,Expense,Restaurant,-6.206844,USD,Indu food ,,2024-01,6.206844
2024-01-07T14:12:07+00:00,Expense,Groceries,-0.8820252,USD,,,2024-01,0.8820252
2024-01-07T14:16:07+00:00,Expense,Groceries,-0.326676,USD,,,2024-01,0.326676
2024-01-07T16:34:58+00:00,Expense,Personal Care,-9.34578,USD,Piercing sro oreja,,2024-01,9.34578
2024-01-08T12:13:58+00:00,Expense,Restaurant,-6.6822327,USD,Pizza in ella,,2024-01,6.6822327
2024-01-08T12:42:50+00:00,Expense,Groceries,-7.3520136,USD,,,2024-01,7.3520136
2024-01-09T07:32:24+00:00,Expense,Coffee,-4.4548218,USD,One love cafe ella,,2024-01,4.4548218
2024-01-09T09:24:14+00:00,Expense,Restaurant,-5.607468,USD,,,2024-01,5.607468
2024-01-09T09:35:07+00:00,Expense,Acommodation,-37.38312,USD,Avocado Hostel Ella 4 nights with breakfast ,,2024-01,37.38312
2024-01-09T09:35:18+00:00,Expense,Activities,-9.34578,USD,Cooking class,,2024-01,9.34578
2024-01-09T09:35:33+00:00,Expense,Alcohol,-6.542046,USD,,,2024-01,6.542046
2024-01-10T04:15:54+00:00,Expense,Acommodation,-8.385093,USD,White house,,2024-01,8.385093
2024-01-10T04:17:28+00:00,Expense,Restaurant,-13.354037,USD,Dinner white house,,2024-01,13.354037
2024-01-10T06:19:04+00:00,Expense,Transport,-0.7142857,USD,Bus nalahh to hatton,,2024-01,0.7142857
2024-01-10T06:21:00+00:00,Expense,Transport,-1.401867,USD,Train ella to hattong,,2024-01,1.401867
2024-01-10T07:59:24+00:00,Expense,Groceries,-6.1490682,USD,Cosas almuerzo hatton railwat,,2024-01,6.1490682
2024-01-10T09:09:56+00:00,Expense,Coffee,-1.242236,USD,Kit lat,,2024-01,1.242236
2024-01-10T09:34:57+00:00,Expense,Transport,-0.67289616,USD,Bus Hatton to Nallaniha adam oeak,,2024-01,0.67289616
